title,source,author,Subject,Date ,label
 Mueller Spokesman Just Fcked Up Donald Trumps Christmas,Facebook,Tom Ciccotta,News,December 29  2034,FALSE
 SNL Hilariously Mocks Accused Child Molester Roy Moore For Losing AL Senate Race VIDEO,Rummer com,Jason Easley,News,December 29  2035,FALSE
 Republican Senator Gets Dragged For Going After Robert Mueller,Highlight com,Bryant Rousseau,News,December 29  2036,FALSE
 In A Heartless Rebuke To Victims Trump Invites NRA To Xmas Party On Sandy Hook Anniversary,source,REALdeal,News,December 29  2037,FALSE
 KY GOP State Rep Commits Suicide Over Allegations He Molested A Teen Girl DETAILS,Whatsapp,REALdeal,News,December 29  2038,FALSE
 Meghan McCain Tweets The Most AMAZING Response To Doug Jones Win In DeepRed Alabama,Facebook,Dale Johnson,News,December 29  2039,FALSE
 CNN CALLS IT A Democrat Will Represent Alabama In The Senate For The First Time In 25 Years,Rummer com,Andrew Anglin,News,December 29  2040,FALSE
 White House It Wasnt Sexist For Trump To SlutShame Sen Kirsten Gillibrand VIDEO,Highlight com,James Fulford,News,December 29  2041,FALSE
 Despicable Trump Suggests Female Senator Would Do Anything With Him For Campaign Money TWEET,Whatsapp,Holland Cotter,News,December 29  2042,FALSE
 Accused Child Molesting Senate Candidate Roy Moore Sides With Putin Over Reagan VIDEO,Facebook,Sam J,News,December 29  2043,FALSE
 WATCH Fox Host Calls For A Cleansing Of The FBI And To Arrest Everyone Investigating Trump,Rummer com,Maggie Haberman and Thomas Kaplan,News,December 29  2044,FALSE
 Liberal Group Trolls Trump At Roy Moore Rally In The Best Possible Way VIDEO,Highlight com,Matthew Goldstein Rachel Abrams and Ben Protess,News,December 29  2045,FALSE
 Don Jr Tries To Mock Al Frankens Resignation Backfires Immediately,Whatsapp,,News,December 29  2046,FALSE
 BREAKING Cop Finally Gets His Due Walter Scotts Killer Sentenced To Prison DETAILS,Facebook,Pam Key,News,December 29  2047,FALSE
 Watch Is This Proof Trump Is Unfit for Service,Rummer com,UnReal Mama,News,December 29  2048,FALSE
 Trump Completely SCREWS The Middle East Peace Process Just Another Wednesday For Him,Highlight com,James Poniewozik,News,December 29  2049,FALSE
 Trump Only Cares About Trump Why He Is Recognizing Jerusalem Today,Whatsapp,Mark Mazzetti,News,December 29  2050,FALSE
 Watch Trump Supporting Coal CEO Upset Trump Is Wiping Out Thousands Of Coal Mining Jobs,Facebook,nan,News,December 29  2051,FALSE
 Sitting GOP Senator Has Had ENOUGH Donates To Alabama Democrat For Senate IMAGE,Rummer com,Barbara Crossette,News,December 29  2052,FALSE
 Republican National Committee Better A Pedophile Than A Democrat In The US Senate,Highlight com,Ian Hanchett,News,December 29  2053,FALSE
 Donald Trumps Eating Habits Could Be Dramatically Affecting His Wellbeing And Our Safety,Whatsapp,Kevin Gosztola,News,December 29  2054,FALSE
 John McCain Wanted Another 74 Twitter Followers But His Plan Backfired Miserably TWEETS,Facebook,Andrew Napolitano,News,December 29  2055,FALSE
 This Sarah Huckabee Sanders Tweet About Attacking The FBI Hasnt Aged Well,Rummer com,Dan Bilefsky,News,December 29  2056,FALSE
 FBI Agents Destroy Donald Trump After He Attacks The Agency And James Comey,Highlight com,Robin Pogrebin,News,December 29  2057,FALSE
 Ghost Of Witness Flipped Hilarious SNL Skit Takes Trump Into His Own Private Holiday Hell VIDEO,source,Ian Hanchett,News,December 29  2058,FALSE
 Leaked Email Proves Trump Officials Aware Russia Had Thrown The USA Election To Trump,Whatsapp,Doctor Who?,News,December 29  2059,FALSE
 Trump Just Admitted He Knew Flynn Lied To The FBI Before He Asked Comey To Drop The Investigation,Facebook,Michael D Shear,News,December 29  2060,FALSE
 Watch This Awesome Mashup of Michael Flynn Leading The Lock Her Up Chant As He Goes Off To Court VIDEO,Rummer com,Sabrina Tavernise,News,December 29  2061,FALSE
 White House Panics Knowing Flynn Is Going To Take Them Down,Highlight com,Rakiha geevinda,News,December 29  2062,FALSE
 BREAKING Michael Flynn CRACKS  Will Testify To Mueller Against Trump Himself,Whatsapp,Neil W McCabe,News,December 29  2063,FALSE
 Trump Gets An Epic Fck You From Britain Over His White Supremacist Retweets,Facebook,Nick CummingBruce and Eric Schmitt,News,December 29  2064,FALSE
 This Hilarious Campaign Ad Shows Voters How They Can Avoid Scandalous Elected Officials,Rummer com,Marietta Peverelli,News,December 29  2065,FALSE
 Joe Scarborough Its Not Our Imagination  Trump Really Is Losing His Mind VIDEO,Highlight com,nan,News,December 29  2066,FALSE
 Sources Confirm Robert Muellers Office Interviewed Jared Kushner Several Weeks Ago,Whatsapp,Jeremy Egner,News,December 29  2067,FALSE
 Trump Sends CrazyTime Tweet To The Wrong Account After Losing His Sht Over World Leaders Remarks,Facebook,nan,News,December 29  2068,FALSE
 Americans Once Elected A President After He Was Accused Of Raping A 13YearOld Girl,Rummer com,Erica L Green,News,December 29  2069,FALSE
 Trumps Biggest KKK Fan Is Back And He Just LOVED Those AntiMuslim Tweets This Morning,Highlight com,nan,News,December 29  2070,FALSE
 Trump Spent The Night Retweeting A White Supremacist Convicted Criminal,Whatsapp,Iron Sheik,News,December 29  2071,FALSE
 Sean Hannity Is Throwing A Stage4 Temper Tantrum Over The Photo He Posed For IMAGE,Facebook,Eric Schmitt,News,December 29  2072,FALSE
 Democrats Give Trump A Big Fck You After He Attacks Them In Insane Twitter Rant,Rummer com,Activist Post,News,December 29  2073,FALSE
 Trump Wakes Up To Scream At Black People After Hurling A Racial Slur Yesterday,Highlight com,Yamiche Alcindor,News,December 29  2074,FALSE
 Trump Supporters Object To Prince Harrys Recent Engagement For Terrible Reasons TWEETS,Whatsapp,AO Scott,News,December 29  2075,FALSE
 While Honoring Native American Code Talkers Trump Called Elizabeth Warren Pocahontas VIDEO,Facebook,Mujib Mashal,News,December 29  2076,FALSE
 ProTrump Group Is Now Using Pictures Of An Obama Rally To Make Trump Look Popular,Rummer com,Gilad Atzmon,News,December 29  2077,FALSE
 Breitbart Editor To CNN Host A Song By Ringo Starr Proves Roy Moore Isnt A Pedo VIDEO,Highlight com,Joe Wolverton II JD,News,December 29  2078,FALSE
 Former Obama Photographer Takes Trolling Trump To A Whole New Level TWEETS,source,Anonymous,News,December 29  2079,FALSE
 Just Back From A Golfing Vacay Trump Says Hes Done More Than Any President Ever,Whatsapp,Warner Todd Huston,News,December 29  2080,FALSE
 Two Weeks Before Election Trump Still Defends Accused Child Molester Because TAXES Yall,Facebook,Bill Quigley,News,December 29  2081,FALSE
 Principles Over Power Why Republicans Need To Do Whats Right To Remain Relevant,Rummer com,The Daily Sheeple,News,December 29  2082,FALSE
 Trump Everything You Heard Me Say On The Access Hollywood Tape Never Happened,Highlight com,Rowan Wolf,News,December 29  2083,FALSE
 CNN BLISTERS Trump After He Attacks Them For Bad Representation Thats Your Job TWEETS,Whatsapp,nan,News,December 29  2084,FALSE
 Sean Hannity Gets Wrecked For Yelling At Time Magazine For Calling Out Trumps Lie,Facebook,Jacob Hornberger,News,December 29  2085,FALSE
 Time Magazine Humiliates Trump After He Lies About Award,Rummer com,Charlie Spiering,News,December 29  2086,FALSE
 Ivanka Defends Malia Obama From Attacks Her Dads Fans Wont Stop She Looks Like A Baboon,Highlight com,nan,News,December 29  2087,FALSE
 Trumpsters Launch Insane Conspiracy Theory About The Boot On John McCains Foot,Whatsapp,Christina Sarich,News,December 29  2088,FALSE
 Gay GOP Operative Endorses Doug Jones Over Bigoted Deviant Roy Moore In Senate Race VIDEO,Facebook,Andr√ du P√¥le,News,December 29  2089,FALSE
 WATCH Retired Alabama Cop We Were Told To Keep Roy Moore Away From High School Cheerleaders,Rummer com,Daniel Victor,News,December 29  2090,FALSE
 New York Times Reports Theres An Actual Russian Agent In Congress And He Has A Code Name,Highlight com,Charles McDermid,News,December 29  2091,FALSE
 Fox News Bans Gene Simmons For Life For Harassing Staff Off Camera,Whatsapp,Sam Sifton,News,December 29  2092,FALSE
 WATCH Nicolle Wallace Takes Trump To The Woodshed For Backing Pedophile Moore,Facebook,Richard P√rezPe√±a and Frances Robles,News,December 29  2093,FALSE
 Pastor Goes Full Yall Qaeda Defending Roy Moore He Only Wanted Teen Girls For Their Purity,Rummer com,Maggie Haberman and Nicholas Fandos,News,December 29  2094,FALSE
 Trumps National Security Adviser Reportedly TRASHED Him  This Is Epic,Highlight com,Thomas C Mountain,News,December 29  2095,FALSE
 Trumps Favorite News Channel Tries To Soothe His Battered Ego  Gets Taken To The Cleaners,Whatsapp,Warner Todd Huston,News,December 29  2096,FALSE
 Texas Governor Just Broke With Trump This Is Unprecedented,Facebook,Jess Bidgood and Richard P√rezPe√±a,News,December 29  2097,FALSE
 Conservative Christian Leader Kept A Sexual Assault Secret For A Republican Lawmaker,Rummer com,Starkman,News,December 29  2098,FALSE
 GOP Senator Caught On Hot Mic Trashing His Own Party Over Roy Moore And Donald Trump VIDEO,Highlight com,John Hayward,News,December 29  2099,FALSE
 Donald Trump Is Destroying The Countrys Reputation And Heres Proof,source,The European Union Times,News,December 29  2100,FALSE
 Trump Just Got His Pssy Handed To Him By New Zealands Female Prime Minister,Whatsapp,Author,News,December 29  2101,FALSE
 Chaos Ensues After Man Accidentally Shoots Himself And Wife In Church During Gun Safety Talk,Facebook,Gillian,News,December 29  2102,FALSE
 New Accuser Confirms She Got Roy Moore Banned From The Mall VIDEOS,Rummer com,Nicholas Bakalar,News,December 29  2103,FALSE
 Roy Moore Is Asking People To Snitch On The Media And Hes Getting Trolled HARD TWEETS,Highlight com,Winnie Hu,News,December 29  2104,FALSE
 Trump Admin Tosses Out Another Obama Rule  His Sons Can Be Even Worse Douchebags Now,Whatsapp,Vanessa Friedman,News,December 29  2105,FALSE
 The Internet Lights Up After The Pentagon Accidentally Retweets A Call For Trump To Resign,Facebook,Tony Lee,News,December 29  2106,FALSE
 AntiGay GOP Rep Gets BUSTED For Having Inappropriate Relations With A Man In His State Office,Rummer com,Andrew Anglin,News,December 29  2107,FALSE
 That Time Trump Mocked Marco Rubio For Drinking Water Just Came Back To Haunt Him,Highlight com,David Streitfeld,News,December 29  2108,FALSE
 WATCH Corporate CEOs SHOCK Trumps Economic Adviser With Truth About GOP Tax Cuts,Whatsapp,nan,News,December 29  2109,FALSE
 Texas Sheriff Threatens To Jail Truck Owner For AntiTrump Sticker SCREENSHOTS,Facebook,Common Dreams,News,December 29  2110,FALSE
 WATCH Delusional Trump Fans Lash Out At Fox Host For Reporting Facts Of Uranium One Deal,Rummer com,Daniel Victor,News,December 29  2111,FALSE
 Roy Moore Supporting Republican LOSES It After Being Called An Extremist,Highlight com,Truth Broadcast Network,News,December 29  2112,FALSE
 That Story Trump Just Told The Press About Obama And Air Force One NEVER Happened,Whatsapp,Declan Walsh,News,December 29  2113,FALSE
 This 4Year Old Tweet From Donald Trump Shows Us Hes AT LEAST As Perverted As Roy Moore,Facebook,Ivan Nechepurenko,News,December 29  2114,FALSE
 OOPS Trump Judicial Nominee Didnt Tell Congress About Marriage To White House Attorney,Rummer com,Ilana Mercer,News,December 29  2115,FALSE
 Trump Laughs After Philippine Leader Calls Journalists Spies In Country Where Journalists Are Routinely Murdered,Highlight com,Gillian,News,December 29  2116,FALSE
 Watch Joe Biden Just Wrecked Trump In Six Words And Its Hilarious,Whatsapp,Reuters,News,December 29  2117,FALSE
 BUSTED Leaked Documents Prove Trump Took Laundered Money From Russian Bank,Facebook,Carrie MacDonald,News,December 29  2118,FALSE
 Perverted GOP State Rep Corners Lobbyist Tries To Force Her To Help With His Raging Bner,Rummer com,Katherine Rodriguez,News,December 29  2119,FALSE
 All Of Roy Moores Former Colleagues Knew He Liked Dating Teenage Girls,Highlight com,Harvey Araton,News,December 29  2120,FALSE
 WATCH Christian Right Founder Condemns Them For Supporting Nazis And Sexual Misconduct,source,Ben Berkon,News,December 29  2121,FALSE
 Conservative Christian Leader Defends Pedophile GOP Candidate Roy Moore,Whatsapp,Michael D Shear and David E Sanger,News,December 29  2122,FALSE
 Trump Throws Intelligence Community Under The Bus To Side With Putin Despite Strong Evidence Of Russian Meddling,Facebook,Contributing Author,News,December 29  2123,FALSE
 This Old Mike Pence Tweet Sure Is Uncomfortable Now That The G In MAGA Means Grope,Rummer com,Michelle Slatalla,News,December 29  2124,FALSE
 Sean Hannity Just Said Child Molestation Is OK If Its Consensual VIDEO,Highlight com,Adrian Bamforth,News,December 29  2125,FALSE
 Newsweek Just Made Their BEST Cover Ever And People Are Freaking Out,Whatsapp,stevew,News,December 29  2126,FALSE
 Alabama Republican Just Defended Pedophilia Using The Bible,Facebook,Jimmy Rustling,News,December 29  2127,FALSE
 GOP Senate Candidate Turns Out To Be A Disgusting Child Molester,Rummer com,Nick Turse,News,December 29  2128,FALSE
 Senate Democrats Have Been Sneaking Around Behind GOPs Back To Unravel Trump Administration,Highlight com,Joel B Pollak,News,December 29  2129,FALSE
 Sundays Massacre In Texas Bumped Columbine Out Of The Top Ten Deadliest US Mass Shootings,Whatsapp,Christine Hauser,News,December 29  2130,FALSE
 Sean Hannity Barely Spends 6 Seconds On Last Nights Drubbing  Revisits Trump Victory Instead,Facebook,Penny Starr,News,December 29  2131,FALSE
 Maine Voters Tell Trump To Go Fck Himself Expand Medicaid Through Obamacare,Rummer com,John Carney,News,December 29  2132,FALSE
 WATCH Rick Santorum Torches Trump For Not Taking Responsibility For Electoral Bloodbath,Highlight com,Emily Steel,News,December 29  2133,FALSE
 Trump Seething After Humiliating Virginia Elections Throws Ed Gillespie Under The Bus,Whatsapp,NaturalNews Network,News,December 29  2134,FALSE
 The Resistance Just Gave Trump A Huge FCK YOU On Election Night,Facebook,Tom Ciccotta,News,December 29  2135,FALSE
 Trumps Justice Dept Realizes Prosecuting Woman For Laughing Is Stupid  Drops Case Entirely,Rummer com,nan,News,December 29  2136,FALSE
 Trump Jr Goes Full Dumba On Twitter By Promoting Wrong Day Of Virginia Election,Highlight com,nan,News,December 29  2137,FALSE
 Trump Just Openly Called For A Third World War VIDEO,Whatsapp,Chris Tomlinson,News,December 29  2138,FALSE
 OOPS Trump Agrees That People Like Him Should Be Treated Harshly For Milking Their Country,Facebook,Redflag Newsdesk,News,December 29  2139,FALSE
 Miss Texas Gave A VERY Unexpected Answer When Asked About Trump And Republicans Are Furious,Rummer com,Breitbart Jerusalem,News,December 29  2140,FALSE
 Trump Is Trying To Make Facebook Give Him Personal Info Of People Who Criticize Him,Highlight com,Charlie Spiering,News,December 29  2141,FALSE
 Multiple Witnesses Confirm The Pee Pee Tapes Are Real,source,Rich Knoch,News,December 29  2142,FALSE
 Fox News Just Completed Transformation Into Safe Space For Fragile Snowflakey Donald Trump,Whatsapp,Allison Vincent,News,December 29  2143,FALSE
 Trump Tells Japanese Diplomats He Never Knew There Were So Many Countries In The World,Facebook,Breitbart Jerusalem,News,December 29  2144,FALSE
 Latest From Conservatives God Was Answering Victims Prayers By Letting Them Get Shot,Rummer com,nan,News,December 29  2145,FALSE
 University Of Texas Police Kick Humiliated Nazis Off Campus Before They Could Start Trouble,Highlight com,Christine Ro,News,December 29  2146,FALSE
 Russian Lawyer Drops Bomb On Donald Trump Jr Alleges Direct PayToPlay Attempt,Whatsapp,nan,News,December 29  2147,FALSE
 WATCH Republican Lawmaker Claims Forcing Women To Have Babies Will Help The Economy,Facebook,Annie Waldman,News,December 29  2148,FALSE
 Someone Tried To Cash In On Antifa With These 375 Jackets And Twitter Had A Field Day,Rummer com,Brianna Acuesta,News,December 29  2149,FALSE
 Senator Delivers SCATHING Rebuke To His GOP Colleagues  No One Is Safe Because Of You,Highlight com,Brooks Barnes,News,December 29  2150,FALSE
 A Reminder Of How Much The NRA Has Spent On Trump In Wake Of ANOTHER Mass Shooting,Whatsapp,Aaron Klein,News,December 29  2151,FALSE
 27 People Murdered In Texas Mass Shooting And Trumps Response Is Classic Racist,Facebook,Carl Hulse,News,December 29  2152,FALSE
 Trump Went To Japan And Immediately Proved He Knows Zilch About How Missiles Work,Rummer com,Alison Smale,News,December 29  2153,FALSE
 The Walls Close In On Trump As His Disgraced National Security Adviser Faces Indictment From Team Mueller,Highlight com,nan,News,December 29  2154,FALSE
 Former Watergate Prosecutor Mueller Could Gag Trump On Russia,Whatsapp,Madeline,News,December 29  2155,FALSE
 GOP Lawmaker Links Abortion To The Economy In One Bizarre And Horribly Offensive Rant VIDEO,Facebook,nan,News,December 29  2156,FALSE
 Hawaiians Had The Perfect Signs To Infuriate Trump When He Landed There,Rummer com,Michael,News,December 29  2157,FALSE
 Trump Wants The Supreme Court To Punish Lawyers Who Win Cases Against His Administration,Highlight com,Charlie Nash,News,December 29  2158,FALSE
 Hypocrite Ivanka Trump HUMILIATED For Calling For End To  Harassment While Predator Dad Is In Japan With Her,Whatsapp,Rixon Stewart,News,December 29  2159,FALSE
 After Pulling NFLRelated Ads Papa Johns Gets An Unlikely Sponsor Of Their Own Nazis,Facebook,Lexi Morgan,News,December 29  2160,FALSE
 Mike Pence Gets A Special Gift In His Office Mail Every Month And He Probably Burns It VIDEO,Rummer com,Mike Rivero,News,December 29  2161,FALSE
 With Just Two Words GOP Congressman ADMITS He Doesnt Answer To His Constituents,Highlight com,Jon Emont,News,December 29  2162,FALSE
 One Hero Made Donald Trump Panic And Made Twitter Celebrate DETAILS,source,The Saker,News,December 29  2163,FALSE
 Sarah Huckabee Sanders SHREDDED By LA Times For TruthTwisting  This Is Brilliant,Whatsapp,admin,News,December 29  2164,FALSE
 Trumps Energy Secretary Has An Idea For Stopping  Assault  This Is INSANE,Facebook,Maggy Ayala and Kirk Semple,News,December 29  2165,FALSE
 Jeff Sessions Oh You Mean THAT Russian Contact I Remember Now,Rummer com,Adeel Hassan,News,December 29  2166,FALSE
 AltRight White House Reporter Gets Fooled By Fake Tweet Reports Upcoming Civil War,Highlight com,Guest,News,December 29  2167,FALSE
 Papa John Attacks The NFL And First Amendment After His Shtty Pizza Loses Him A Small Fortune,Whatsapp,Jack Montgomery,News,December 29  2168,FALSE
 Trump Is Literally Sabotaging The Case Against The NYC Terrorist By Not Keeping His Mouth Shut,Facebook,Michael M Grynbaum and John Koblin,News,December 29  2169,FALSE
 4 Reasons Why This LittleKnown Trump Aide Is More Dangerous To Trump Than Paul Manafort,Rummer com,Michael Ware,News,December 29  2170,FALSE
 Former Ambassador Accuses Trump Of Violating Constitution Every Time A Diplomat Visits,Highlight com,Andrea Kannapell and Sandra Stevenson,News,December 29  2171,FALSE
 Trump Is Throwing Jared Kushner Under The Bus Over Mueller Indictments,Whatsapp,REALdeal,News,December 29  2172,FALSE
 Russians Fooled Dumbass Conservatives With Meme Of Hillary Fistfighting Jesus,Facebook,Chris Tomlinson,News,December 29  2173,FALSE
 Chuck Schumer Just NUKED Trump For Blaming Him For Terrorist Attack,Rummer com,Biigs,News,December 29  2174,FALSE
 Watch GOP Senator Almost Knock Over American Flags As He Dodges Indictment Questions VIDEO,Highlight com,Susan Dominus,News,December 29  2175,FALSE
 WATCH Trumps Chief Of Staff John Kelly Just Admitted That He Doesnt Think There Was Anything Wrong With Slavery,Whatsapp,IWB,News,December 29  2176,FALSE
 Legal Community SCHOOLS Trumps Lawyer For Claiming Collusion Is Not A Crime,Facebook,noreplybloggercom Der Postillon,News,December 29  2177,FALSE
 WATCH Hannity Loses His Sht And Refers To Hillary As President Clinton During UNHINGED Rant,Rummer com,No Author,News,December 29  2178,FALSE
 Seth Meyers Summed Up Mondays Events Perfectly VIDEO,Highlight com,Michael Krieger,News,December 29  2179,FALSE
 This 2016 Hannity Tweet Is Now Like A Knife In The Back For Trump,Whatsapp,K Balakumar,News,December 29  2180,FALSE
 How Shtty Of A Birthday Must Ivanka Trump Be Having,Facebook,Adam Shaw,News,December 29  2181,FALSE
 Guilty As Hell Paul Manafort And Rick Gates Enter Not Guilty Pleas In Russian Collusion Scandal TWEETVIDEO,Rummer com,Paula Walker,News,December 29  2182,FALSE
 This Is What Fox News Considered News As Everyone Else Covered Indictment Of Trump Camp Manager,Highlight com,Katherine Rodriguez,News,December 29  2183,FALSE
 Racists Heads Will Explode When They Find Out WhiteOnWhite Crime Is Higher,source,James,News,December 29  2184,FALSE
 McCain Has The Best Laugh Hes Had In 80 Years When Hes Asked THIS About Donald Trump,Whatsapp,nepali hercules,News,December 29  2185,FALSE
 Attempts By Trump To Pardon Anyone Indicted By Mueller Could Backfire On Him In A BIG Way,Facebook,Penny Starr,News,December 29  2186,FALSE
 Heres What We ALL Need To Do If Trump Moves To Fire Mueller And Shut Down The Russia Probe,Rummer com,Ildefonso Ortiz,News,December 29  2187,FALSE
 The Numbers Are In States Insurers Literally Say Obamacare Trainwreck Is TRUMPS Fault,Highlight com,Joanna Nikas,News,December 29  2188,FALSE
 Hillary Hilariously Ribs Fox Hosts For Their Insane Obsession With Impeaching Her VIDEO,Whatsapp,Michelle Moons,News,December 29  2189,FALSE
 The Internet Wrecks Tomi Lahren For Halloween Costume Which Violates US Flag Code,Facebook,Grownmangrumbles,News,December 29  2190,FALSE
 DO SOMETHING Trump Panics As Muellers Investigation Closes In On Him,Rummer com,Michael T Kaufman,News,December 29  2191,FALSE
 Hillary Clinton TOTALLY Just Rubbed Indictment Rumors In Trumps Big Orange Face SCREENSHOTS,Highlight com,Daniel Nussbaum,News,December 29  2192,FALSE
 Twitter Just Banned A Major Trump Ally For Threatening Journalists SCREENSHOTS,Whatsapp,Emmarie Huetteman,News,December 29  2193,FALSE
 If Youre Looking For Ways To Irritate Trump Here Are Some Tips IMAGES,Facebook,Virginia Hale,News,December 29  2194,FALSE
 BREAKING The First Charges Have Been Filed In Muellers Russia Investigation,Rummer com,Warner Todd Huston,News,December 29  2195,FALSE
 Trumps Puerto Rico Contract With TwoMan Energy Company Is Corrupt As Fck,Highlight com,John Carney,News,December 29  2196,FALSE
 WATCH Former White House Official Suggests On Hannity That Hillary Clinton Should Be Executed,Whatsapp,Hwaida Saad and Nick CummingBruce,News,December 29  2197,FALSE
 Trump Just Closed The Office That Coordinates Russia Sanctions,Facebook,Katherine Rodriguez,News,December 29  2198,FALSE
 Yet Another Asshole Just Rammed A Bunch Of Protesters With His Car VIDEO,Rummer com,Daniel Victor,News,December 29  2199,FALSE
 Judge Who Barred A Mom From Seeing Her Baby For A Year Over Unpaid Fees Resigns,Highlight com,nan,News,December 29  2200,FALSE
 Trump Just Got Banned From The Place Where He Proposed To Melania,Whatsapp,Bob Price,News,December 29  2201,FALSE
 John Lewis Has the PERFECT Birthday Message For Hillary And Trump Will Be FURIOUS TWEET,Facebook,nan,News,December 29  2202,FALSE
 Milo Yiannopoulos Tells Aussies To Vote Against Marriage Equality Weeks After His Own Gay Wedding,Rummer com,Jeremiah Johnson,News,December 29  2203,FALSE
 Trumps ICE Thugs Stop Ambulance Taking 10YearOld Girl With Cerebral Palsy To Surgery,Highlight com,Alexandra Stevenson and Matthew Goldstein,News,December 29  2204,FALSE
 AltRight Trump Lover Loses His Sht Kills His Own Dad For Calling Him A Nazi,source,PraetorianAZ,News,December 29  2205,FALSE
 WATCH This Amazingly Aware Company Has Created A Brilliant Way To Document Trumps Dangerous Tweets,Whatsapp,Jack Montgomery,News,December 29  2206,FALSE
 Melania Trump Hit With SERIOUS SideEye After Telling Black Kids To Respect Each Other,Facebook,Tyler Durden,News,December 29  2207,FALSE
 Trump Wets His Pants Over Bob Corker Again Corker Alerts The White House Daycare Staff,Rummer com,Michael Barbaro,News,December 29  2208,FALSE
 GOP Senate Candidate Says Kids Were Murdered At Sandy Hook Because His God Was Angry,Highlight com,Richard C Paddock,News,December 29  2209,FALSE
 WATCH John McCain Mocks President Bone Spurs Over His Draft Deferments,Whatsapp,Charlie Nash,News,December 29  2210,FALSE
 Soldiers Widow Finally Speaks It Made Me Cry Even More  Trump Calls Her A Liar IMMEDIATELY,Facebook,Amanda Shea,News,December 29  2211,FALSE
 Nursing Textbooks Recalled And Apology Issued For Racial Stereotypes Related To Pain Management,Rummer com,Michael Krieger,News,December 29  2212,FALSE
 Trump SCREAMS On Twitter After Seeing A Poll On Fox News,Highlight com,Prof Tony Hall,News,December 29  2213,FALSE
 Trump And John Kelly Just Got RIPPED APART By A Medal Of Honor Recipient VIDEO,Whatsapp,nan,News,December 29  2214,FALSE
 NRA Releases Fascist Ad Calling All Trump Critics Saboteurs Whose Future Is Failure VIDEO,Facebook,carewemust,News,December 29  2215,FALSE
 Trump Takes Credit For Releasing JFK Files But The Bill Requiring It Was Passed 25 Years Ago,Rummer com,Jack Montgomery,News,December 29  2216,FALSE
 Bill Maher Takes Down Trumps Lying Chief Of Staff In BLISTERING Rebuke VIDEO,Highlight com,Ben Sisario,News,December 29  2217,FALSE
 WATCH Reporters DRAG Sarah Huckabee Sanders In Brilliant FactCheck VIDEO,Whatsapp,AnonVoid Moderator,News,December 29  2218,FALSE
 SwastikaCovered Guy Gets Punched In The Face Outside Nazi Rally And Its Beautiful VIDEO,Facebook,C J Chivers,News,December 29  2219,FALSE
 Trump Gets His A Handed To Him By British Lawmakers For Lying About Rising Crime Rate In UK,Rummer com,Heather Callaghan,News,December 29  2220,FALSE
 Trump Brags he Owns An Original Renoir Yet The Real Painting Is Hanging In A Chicago Gallery,Highlight com,MR,News,December 29  2221,FALSE
 Richard Spencers Fascist Goon Squad Couldnt Keep Florida From Laughing His Nazi Ass Off The Stage,Whatsapp,Kaitlyn Stegall,News,December 29  2222,FALSE
 W Virginia Halloween Store Boasts Shockingly Racist Costume Display Featuring Pres Obama VIDEO,Facebook,Amanda Froelich,News,December 29  2223,FALSE
 New Report PROVES Voter Suppression Handed Trump Wisconsin And Possibly The Whole Election,Rummer com,Consortiumnewscom,News,December 29  2224,FALSE
