ID,TITLE,AUTHOR,DATE ,LABEL
115,HHS Pauses Distribution of Eli Lillys COVID19 Antibody Treatments Over Efficacy Concerns ,Penny Starr,December 29  2132,TRUE
116, US to Send 3 Million JJ COVID19 Vaccine Doses to Brazil ,John Carney,December 29  2133,TRUE
117, CDC Advisory Panel Says COVID19 Vaccines Linked to Rare Mild Heart Symptoms ,Emily Steel,December 29  2134,TRUE
118, Medicaid Enrollment Reaches AllTime High During COVID19 ,NaturalNews Network,December 29  2135,TRUE
119, White House Outlines Plan to Send 55 Million Vaccine Doses to World ,Tom Ciccotta,December 29  2136,TRUE
120, US Health Officials Push for More COVID Vaccinations as Delta Variant Gains Ground ,nan,December 29  2137,TRUE
121, US Devotes 3 Billion to Develop Antiviral Medications to Treat COVID19 ,nan,December 29  2138,TRUE
122,FDA Approves Two Batches of JJ Vaccine from Baltimore Plant but Says 60 Million Doses Contaminated ,Chris Tomlinson,December 29  2139,TRUE
123, G7 Nations Pledge 1 Billion Vaccine Doses for World ,Redflag Newsdesk,December 29  2140,TRUE
124, FDA Extends Expiration Date of JJ Vaccine by 6 Weeks ,Breitbart Jerusalem,December 29  2141,TRUE
125, Administration Warns Providers and Insurers COVID19 Vaccines and Testing Must be Free for Patients ,Charlie Spiering,December 29  2142,TRUE
126, FDA Approves Subcutaneous Injection of Regeneron COVID19 Antibody Treatment ,Rich Knoch,December 29  2143,TRUE
127, Biden Admin Unveils Plan for Distributing COVID19 Vaccine to Other Countries ,Allison Vincent,December 29  2144,TRUE
128, FDA Authorizes Antibody Treatment for High Risk COVID19 Patients ,Breitbart Jerusalem,December 29  2145,TRUE
129, FDA Allows Longer Refrigerator Storage for PfizerBioNTech Vaccine ,nan,December 29  2146,TRUE
130,CMS Data Show Vulnerable Americans Forgoing Mental Healthcare During COVID19 ,Christine Ro,December 29  2147,TRUE
131, Biden Administration Announces 74 Billion to Bolster Public Health Workforce ,nan,December 29  2148,TRUE
132,CDC Says Fully Vaccinated No Longer Need Masks in Many Cases ,Annie Waldman,December 29  2149,TRUE
133, Feds Allocate 6 Billion to Community Health Centers to Address Access Barriers ,Brianna Acuesta,December 29  2150,TRUE
134,FDA Authorizes Pfizer BioNTech Vaccine for Emergency Use in Adolescents ,Brooks Barnes,December 29  2151,TRUE
135, Biden Administration Will Support IP Protections Waiver for COVID19 Vaccines ,Aaron Klein,December 29  2152,TRUE
136, HHS Establishes COVID19 Coverage Assistance Fund for Vaccination Fees ,Carl Hulse,December 29  2153,TRUE
137, More Than 100 Million in US Fully Vaccinated Against the Coronavirus ,Alison Smale,December 29  2154,TRUE
138, COVID Outpatients Dont Benefit From Hydroxychloroquine LopinavirRitonavir ,nan,December 29  2155,TRUE
139, Elderly Show Similar Antibody Response to 1st Dose of Astra Pfizer COVID19 Shots UK Study ,Madeline,December 29  2156,TRUE
140, 1 in 5 Still Say They Wont Get COVID19 Vaccine Poll ,nan,December 29  2157,TRUE
141, Pfizer Says It Can Deliver 10 More Vaccine Doses to US by End of May ,Michael,December 29  2158,TRUE
142, Covid19 Drug Prevents Symptomatic Disease in Study Regeneron Says ,Charlie Nash,December 29  2159,TRUE
143, Studies Confirm Racial Ethnic Disparities In COVID19 Hospitalizations And Visits ,Rixon Stewart,December 29  2160,TRUE
144, Researchers Are Hatching a LowCost Coronavirus Vaccine ,Lexi Morgan,December 29  2161,TRUE
145,Moderna Gets Nod To Speed Up Virus Vaccine Output With Bigger Vials ,Mike Rivero,December 29  2162,TRUE
146, US Draws Close to 100M Vaccinations As Baseball Resumes ,Jon Emont,December 29  2163,TRUE
147, NIH To Test Revamped Moderna COVID19 Vaccine Against South Africa Virus Variant ,The Saker,December 29  2164,TRUE
148, Pfizer and BioNTech Say Vaccine Prevents COVID19 in Adolescents ,admin,December 29  2165,TRUE
149, Getting One Vaccine Is Good How About Mix and Match,Maggy Ayala and Kirk Semple,December 29  2166,TRUE
150, LillyVirs COVID19 Antibody Combo Reduces Viral Load in Study ,Adeel Hassan,December 29  2167,TRUE
151, Pfizer Moderna COVID19 Vaccines Highly Effective After First Shot in RealWorld Use US Study Shows ,Guest,December 29  2168,TRUE
152, AstraZenecas COVID19 Vaccine Is Safe 79 Effective in LateStage US Trials ,Jack Montgomery,December 29  2169,TRUE
153, Johnson  Johnson COVID Vaccine Supply Limited More Expected in April ,Michael M Grynbaum and John Koblin,December 29  2170,TRUE
154, Germany France Among Nations To Resume Use of AstraZeneca Vaccine After Regulators Back Shot ,Michael Ware,December 29  2171,TRUE
155, Existing COVID Vaccines May Protect Against Brazilian Variant Oxford Study ,Andrea Kannapell and Sandra Stevenson,December 29  2172,TRUE
156, Covid19 Variant Vaccines in Works at Johnson  Johnson ,REALdeal,December 29  2173,TRUE
157, US Vaccine Production Is Starting To Surge,Chris Tomlinson,December 29  2174,TRUE
158, US Falling Short on Vaccine Equity,Biigs,December 29  2175,TRUE
159, FDA Orders COVID Antibody Makers Regeneron Eli Lilly To Track Virus Variants ,Susan Dominus,December 29  2176,TRUE
160,GSK Kick Starts Phase 3 Medicago Partnered COVID Vaccine Test ,IWB,December 29  2177,TRUE
161, Pfizer BioNTech Say Data Suggests Vaccine 94 Effective in Preventing Asymptomatic Infection ,noreplybloggercom Der Postillon,December 29  2178,TRUE
162, Novavax Vaccine 96 Effective Against Original Coronavirus 86 vs British Variant in UK trial ,No Author,December 29  2179,TRUE
163,Pfizer BioNTech COVID19 Vaccine Neutralizes Brazil Variant in Lab Study ,Michael Krieger,December 29  2180,TRUE
164, FDA Authorizes New Test Built with Machine Learning to Detect Past Covid19 Infections ,K Balakumar,December 29  2181,TRUE
165, Astra Stockpiles Vaccine That Could Speed Up Biden Timeline ,Adam Shaw,December 29  2182,TRUE
166,FDA Authorizes Over The Counter Coronavirus Test ,Paula Walker,December 29  2183,TRUE
167, Abbott Scores Testing Green Lights for Symptomless COVID19 Cases Plus Flu RSV ,Katherine Rodriguez,December 29  2184,TRUE
168, FDA Warns Against Using AntiParasitic Drug for Covid19 After Reports of Hospitalizations ,James,December 29  2185,TRUE
169, Sanofi and GSK Delay COVID19 Vaccine Marking Setback for Global Fight ,nepali hercules,December 29  2186,TRUE
170, The Advisory Committee on Immunization Practices Interim Recommendation for Allocating Initial Supplies of COVID19 Vaccine United States 2020,Penny Starr,December 29  2187,TRUE
171, Moderna Begins Study of COVID19 Vaccine in Adolescents ,Ildefonso Ortiz,December 29  2188,TRUE
172,First US Shipments of Pfizer Vaccine Will Be 29 Million Doses ,Joanna Nikas,December 29  2189,TRUE
173, Biden Lays Out Top Three COVID Priorities for First 100 Days ,Michelle Moons,December 29  2190,TRUE
174, Pfizes Vaccine Offers Strong Protection After First Dose ,Grownmangrumbles,December 29  2191,TRUE
175, Vaccine Production in Focus as Moderna Pfizer Await FDA Decision ,Michael T Kaufman,December 29  2192,TRUE
176, CVS Walgreens Gear Up to Deliver Covid19 Vaccines to Nursing Homes ,Daniel Nussbaum,December 29  2193,TRUE
177, ACIP Bumps Up COVID Vax Meeting Timeline ,Emmarie Huetteman,December 29  2194,TRUE
178, US Officials Plan to Release 64 Million COVID19 Vaccine Doses in First Distribution ,Virginia Hale,December 29  2195,TRUE
179, ACIP HCPs Nursing Home Residents May Get COVID Vax First ,Warner Todd Huston,December 29  2196,TRUE
180, AstraZenecaOxford Covid19 Vaccine Up to 90 Effective in LateStage Trials ,John Carney,December 29  2197,TRUE
181, Oxford AstraZeneca Coronavirus Vaccines Strong Response in Elderly Confirmed in Review ,Hwaida Saad and Nick CummingBruce,December 29  2198,TRUE
182, Pfizer Says Vaccine Is 95 Effective in Final Data Will Seek Authorization ,Katherine Rodriguez,December 29  2199,TRUE
183,J Starts TwoDose Trial of Its COVID19 Vaccine Candidate ,Daniel Victor,December 29  2200,TRUE
184, Modernas COVID19 Vaccine Candidate Meets its Primary Efficacy Endpoint in the First Interim Analysis of the Phase 3 COVE Study ,nan,December 29  2201,TRUE
185,Pfizer to Start Pilot Delivery Program for its COVID19 Vaccine in Four US States ,Bob Price,December 29  2202,TRUE
186, JJ Taps UnitedHealth to Accelerate Covid19 Vaccine Trial ,nan,December 29  2203,TRUE
187, AMA Creates COVID19 CPT Codes for Pfizer Moderna Vaccines ,Jeremiah Johnson,December 29  2204,TRUE
188,Cardinal Health Partners with CDC to Support Vaccine Access for Pharmacies ,Alexandra Stevenson and Matthew Goldstein,December 29  2205,TRUE
189, Pfizers Early Data Shows Vaccine Is More Than 90 Effective ,PraetorianAZ,December 29  2206,TRUE
190, To Vaccinate Against Covid19 US Enlists Pharmacy Chains ,Jack Montgomery,December 29  2207,TRUE
191, Pivotal Studies of Covid19 Vaccines From AstraZeneca JJ Resuming ,Tyler Durden,December 29  2208,TRUE
192,FDA advisory committee debates safety and efficacy standards for a coronavirus vaccine ,Michael Barbaro,December 29  2209,TRUE
193,A Herculean Effort States Finalize Their COVID19 Vaccine Distribution Plans ,Richard C Paddock,December 29  2210,TRUE
194, Pfizer to Start Testing Its Covid19 Vaccine in Children As Young As 12 ,Charlie Nash,December 29  2211,TRUE
195, Johnson  Johnson Pauses COVID19 Vaccine Trails Due to Sick Subjects ,Amanda Shea,December 29  2212,TRUE
196, Covid19 Antibody Drug From Glaxo Vir Enters Final Stage Testing ,Michael Krieger,December 29  2213,TRUE
197, Diversity Emerges as Key Challenge for Coronavirus Drug Trials ,Prof Tony Hall,December 29  2214,TRUE
198, Johnson  Johnson COVID19 Vaccine Produces Strong Immune Response in Early Trials ,nan,December 29  2215,TRUE
199, US FDA Pauses Inovios Coronavirus Vaccine Trail Plan ,carewemust,December 29  2216,TRUE
200, Researchers Warn Children Not Included in COVID19 Vaccine Trials ,Jack Montgomery,December 29  2217,TRUE
201, Medicare Wouldnt Cover Costs of Administering Coronavirus Vaccine Approved Under Emergency Use Authorization,Ben Sisario,December 29  2218,TRUE
202, Johnson  Johnson Initiates Pivotal Global Phase 3 Clinical Trial of Janssens COVID19 Vaccine Candidate ,AnonVoid Moderator,December 29  2219,TRUE
203, Johnson  Johnson Begins FinalStage Testing of Covid19 Vaccine ,C J Chivers,December 29  2220,TRUE
204, US Health Agency Sets October 16 Deadline for States to Submit Vaccine Plans ,Heather Callaghan,December 29  2221,TRUE
205,How to Ship a Vaccine at 80C and Other Obstacles in the Covid Fight ,MR,December 29  2222,TRUE
206, State Health Authorities Worry About Slow Planning for Covid19 Vaccine Distribution ,Kaitlyn Stegall,December 29  2223,TRUE
207, Coronavirus Kills Far More Hispanic and Black Children Than White Youths CDC Study Finds ,Amanda Froelich,December 29  2224,TRUE
208, Pfizers COVID19 Vaccine Could Be Given in Late 2020 CEO Says ,Consortiumnewscom,December 29  2225,TRUE
209, Missed Vaccines Skipped Colonoscopies Preventive Care Plummets ,Joel B Pollak,December 29  2226,TRUE
210, FDA Setting Higher Bar for Emergency Covid Vaccine Clearance ,Katherine Rodriguez,December 29  2227,TRUE
211, COVID19 New Guidance to Stem Mental Health Crisis in Frontline HCPs ,Michael D Shear Christopher Drew and Isabel Kershner,December 29  2228,TRUE
212, AstraZeneca Pauses Covid19 Vaccine Trail After Illness in a UK Subject ,Richard Marcil,December 29  2229,TRUE
213, The Opioid Crisis Already Serious Has Intensified During Coronavirus Pandemic ,nan,December 29  2230,TRUE
214, Roche Receives FDA Emergency Use Authorization for the Cobas SARSCoV2  Influenza AB Test for Use on the Cobas 68008800 Systems ,Daniel Victor,December 29  2231,TRUE
215,Tracing Apps May Stem COVID19 Spread Even When Only a Few Use Them Study,Lynne Wycherley,December 29  2232,TRUE
216, COVID Convalescent Plasma Guidance Gets EUA Updates ,Sean AdlTabatabai,December 29  2233,TRUE
217, CDC Tells States How to Prepare for Covid19 Vaccine by Early November ,V Saxena,December 29  2234,TRUE
218, Pharmacies Not The Military Will Handle COVID19 Vaccinations ,Aaron Klein,December 29  2235,TRUE
219, COVID19 Update FDA Broadens Emergency Use Authorization for Veklury remdesivir to Include All Hospitalized Patients for Treatment of COVID19 ,Shivani Vora,December 29  2236,TRUE
220, Abbotts 5 Covid19 Rapid Antigen Test Gets EmergencyUse Status From FDA ,shorty,December 29  2237,TRUE
221,Covid19 Vaccines Wont Come With Copay US Health Official Says,Jack Ewing,December 29  2238,TRUE
222, US inks 15 billion deal with Moderna for 100 million doses of COVID19 vaccine ,Gabrielle Cintorino,December 29  2239,TRUE
223,Vaccine for COVID19 will need outside expert review US regulator says ,Breitbart TV,December 29  2240,TRUE
224, HHS DOD Collaborate With Johnson  Johnson to Produce Millions of COVID19 Investigational Vaccine Doses ,Ian Hanchett,December 29  2241,TRUE
225,Trump Signs Executive Order to Expand Telehealth Boost Rural Health Care ,Joe,December 29  2242,TRUE
226, WHO Chief Warns ‘There Might Never Be A Silver Bullet for Coronavirus ,Pakalert,December 29  2243,TRUE
227, Birx Warns That US Epidemic is in a New Phas,Geoffrey Grider,December 29  2244,TRUE
228, Eli Lilly is Testing a Way to Prevent Covid19 Thats Not a Vaccine,Steve Watson,December 29  2245,TRUE
229, HHS DOD Partner With Sanofi and GSK on CommercialScale Manufacturing Demonstration Project to Produce Millions of COVID19 Investigational Vaccine Doses ,Henry Alford,December 29  2246,TRUE
230, Johnson  Johnsons Coronavirus Vaccine Protects Monkeys Study Finds ,Karen Workman and Sandra Stevenson,December 29  2247,TRUE
231,Pfizer and BioNTech Choose Lead mRNA Vaccine Candidate Against COVID19 and Commence Pivotal Phase 23 Global Study ,Ellen Barry,December 29  2248,TRUE
232, The Need to Expand Coverage and Enhance Access to Essential Services on a Predeductible Basis Following COVID19 ,John Leland,December 29  2249,TRUE
233, How Much Will a Coronavirus Vaccine Cost How Will We Know Its Safe The Biggest Takeaways From This Weeks House Hearing ,Consortiumnewscom,December 29  2250,TRUE
234, Pfizer Gets 195 Billion to Produce Coronavirus Vaccine by Years End ,Parker Lee,December 29  2251,TRUE
235, AMA Report Finds Nearly 40 Decline in Opioid Prescriptions But Overdose Deaths Continue to Climb ,Kike GarcÃ­a,December 29  2252,TRUE
236,Drug Pricing Back in the Spotlight ,nan,December 29  2253,TRUE
237,Trump Administration Restores Some COVID19 Hospitalization Data to CDC Website ,Consortiumnewscom,December 29  2254,TRUE
238,Universal Masking to Prevent SARSCoV2 Transmission The Time is Now ,REALdeal,December 29  2255,TRUE
239, School Openings Across Globe Suggest Ways to Keep Coronavirus at Bay Despite Outbreaks ,nan,December 29  2256,TRUE
240, Gilead Sciences Announces Pricing for COVID19 Treatment Remdesivir ,AWR Hawkins,December 29  2257,TRUE
241, CDC Updates Expands List of People at Risk of Severe COVID19 Illness ,Virginia Kruta,December 29  2258,TRUE
242,COVID19 Has Already Cost California Insurers 24 Billion New Study Estimates ,William F Jasper,December 29  2259,TRUE
243,COVID19 May Lead to 10000 Excess Deaths Due to Breast Colorectal Cancers ,Dr Susan Berry,December 29  2260,TRUE
244, Part II Deimplementing LowValue Care Services Addressing Patient Perspectives ,Activist Post,December 29  2261,TRUE
245,ONC Project Aims to Facilitate RealWorld Data Access Exchange ,Investigative Historian Eric Zuesse Is The Author,December 29  2262,TRUE
246,FDA Withdraws Emergency Use Authorization for Hydroxychloroquine   ,Katherine Rodriguez,December 29  2263,TRUE
247, The Next COVID19 Challenge Convincing People to get their Flu Shots ,Motoko Rich,December 29  2264,TRUE
248,During COVID19 Pandemic Healthcare Professional Revenue Fell Nearly 50 Across Nation ,Mikael Thalen,December 29  2265,TRUE
249, Designing Health Plans That Do Not Impede Delivery of High Value Care ,Michael Patrick Leahy,December 29  2266,TRUE
250,Coronavirusinduced lockdown brings country to a grinding,Kaiser Sousa,December 29  2267,TRUE
251,Standoff continues with China on eastern frontier 20 India ,Tyler Durden,December 29  2268,TRUE
252,First quarter GDP contracts by 239,Heather Callaghan,December 29  2269,TRUE
253,PM Narendra Modi lays the foundation stone of Ram temple,Michael Krieger,December 29  2270,TRUE
254,New farm laws and the protests,Eli Rosenberg,December 29  2271,TRUE
255,Communal riots in Delhi claims 42 lives,Eddy Lavine,December 29  2272,TRUE
256,New Education Policy unveiled,Frances Robles,December 29  2273,TRUE
257,Delhi and Bihar state elections,Neil Munro,December 29  2274,TRUE
258,Court acquits all 32 accused in 1992 Babri mosque demolition ,Dumachii,December 29  2275,TRUE
259,AntiCAANRC protests continue,nan,December 29  2276,TRUE
260,Namaste Trump event greets US president in India,Neli Munro,December 29  2277,TRUE
261,India registers 1 crore coronavirus cases,AWR Hawkins,December 29  2278,TRUE
